时间,类型,城市,城市ID,空气质量,空气质量核减,空气质量变化
2017/1/12,1,42,42,59,,
2017/1/12,1,43,43,28,,
2017/1/12,1,44,44,29,,
2017/1/12,1,45,45,51,,
2017/1/12,1,46,46,84,,
2017/1/12,1,47,47,127,,
2017/1/12,1,48,48,94,,
2017/1/12,1,49,49,118,,
2017/1/12,1,50,50,217,,
2017/1/13,1,1,1,23,,
2017/1/13,1,2,2,46,,
2017/1/13,1,3,3,164,,
2017/1/13,1,4,4,41,,
2017/1/13,1,5,5,86,,
2017/1/13,1,6,6,52,,
2017/1/13,1,7,7,76,,
2017/1/13,1,8,8,56,,
2017/1/13,1,9,9,36,,
2017/1/13,1,10,10,52,,
2017/1/13,1,11,11,49,,
2017/1/13,1,12,12,50,,
2017/1/13,1,13,13,131,,
2017/1/13,1,14,14,88,,
2017/1/13,1,15,15,229,,
2017/1/13,1,16,16,129,,
2017/1/13,1,17,17,70,,
2017/1/13,1,18,18,84,,
2017/1/13,1,19,19,105,,
2017/1/13,1,20,20,24,,
2017/1/13,1,21,21,35,,
2017/1/13,1,22,22,25,,
2017/1/13,1,23,23,69,,
2017/1/13,1,24,24,137,,
2017/1/13,1,25,25,153,,
2017/1/13,1,26,26,99,,
2017/1/13,1,27,27,98,,
2017/1/13,1,28,28,113,,
2017/1/13,1,29,29,105,,
2017/1/13,1,30,30,89,,
2017/1/13,1,31,31,21,,
2017/1/13,1,32,32,25,,
2017/1/13,1,33,33,26,,
2017/1/13,1,34,34,24,,
2017/1/13,1,35,35,51,,
2017/1/13,1,36,36,24,,
2017/1/13,1,37,37,33,,
2017/1/13,1,38,38,68,,
2017/1/13,1,39,39,74,,
2017/1/13,1,40,40,113,,
2017/1/13,1,41,41,59,,
2017/1/13,1,42,42,61,,
2017/1/13,1,43,43,27,,
2017/1/13,1,44,44,32,,
2017/1/13,1,45,45,52,,
2017/1/13,1,46,46,109,,
2017/1/13,1,47,47,139,,
2017/1/13,1,48,48,96,,
2017/1/13,1,49,49,123,,
2017/1/13,1,50,50,347,,
2017/1/14,1,1,1,35,,
2017/1/14,1,2,2,40,,
2017/1/14,1,3,3,193,,
2017/1/14,1,4,4,53,,
2017/1/14,1,5,5,96,,
2017/1/14,1,6,6,74,,
2017/1/14,1,7,7,76,,
2017/1/14,1,8,8,46,,
2017/1/14,1,9,9,45,,
2017/1/14,1,10,10,36,,
2017/1/14,1,11,11,50,,
2017/1/14,1,12,12,45,,
2017/1/14,1,13,13,40,,
2017/1/14,1,14,14,63,,
2017/1/14,1,15,15,98,,
2017/1/14,1,16,16,67,,
2017/1/14,1,17,17,88,,
2017/1/14,1,18,18,60,,
2017/1/14,1,19,19,103,,
2017/1/14,1,20,20,65,,
2017/1/14,1,21,21,51,,
2017/1/14,1,22,22,46,,
2017/1/14,1,23,23,95,,
2017/1/14,1,24,24,86,,
2017/1/14,1,25,25,60,,
2017/1/14,1,26,26,85,,
2017/1/14,1,27,27,119,,
2017/1/14,1,28,28,96,,
2017/1/14,1,29,29,105,,
2017/1/14,1,30,30,101,,
2017/1/14,1,31,31,30,,
2017/1/14,1,32,32,27,,
2017/1/14,1,33,33,39,,
2017/1/14,1,34,34,47,,
2017/1/14,1,35,35,69,,
2017/1/14,1,36,36,18,,
2017/1/14,1,37,37,22,,
2017/1/14,1,38,38,83,,
2017/1/14,1,39,39,115,,
2017/1/14,1,40,40,147,,
2017/1/14,1,41,41,45,,
2017/1/14,1,42,42,49,,
2017/1/14,1,43,43,29,,
2017/1/14,1,44,44,35,,
2017/1/14,1,45,45,52,,
2017/1/14,1,46,46,208,,
2017/1/14,1,47,47,126,,
2017/1/14,1,48,48,102,,
2017/1/14,1,49,49,116,,
2017/1/14,1,50,50,265,,
2017/1/15,1,1,1,71,,
2017/1/15,1,2,2,45,,
2017/1/15,1,3,3,272,,
2017/1/15,1,4,4,84,,
2017/1/15,1,5,5,283,,
2017/1/15,1,6,6,141,,
2017/1/15,1,7,7,119,,
2017/1/15,1,8,8,143,,
2017/1/15,1,9,9,43,,
2017/1/15,1,10,10,75,,
2017/1/15,1,11,11,88,,
2017/1/15,1,12,12,72,,
2017/1/15,1,13,13,25,,
2017/1/15,1,14,14,42,,
2017/1/15,1,15,15,79,,
2017/1/15,1,16,16,32,,
2017/1/15,1,17,17,40,,
2017/1/15,1,18,18,25,,
2017/1/15,1,19,19,51,,
2017/1/15,1,20,20,57,,
2017/1/15,1,21,21,43,,
2017/1/15,1,22,22,36,,
2017/1/15,1,23,23,70,,
2017/1/15,1,24,24,102,,
2017/1/15,1,25,25,48,,
2017/1/15,1,26,26,92,,
2017/1/15,1,27,27,124,,
2017/1/15,1,28,28,69,,
2017/1/15,1,29,29,70,,
2017/1/15,1,30,30,95,,
2017/1/15,1,31,31,35,,
2017/1/15,1,32,32,35,,
2017/1/15,1,33,33,46,,
2017/1/15,1,34,34,43,,
2017/1/15,1,35,35,87,,
2017/1/15,1,36,36,28,,
2017/1/15,1,37,37,21,,
2017/1/15,1,38,38,91,,
2017/1/15,1,39,39,187,,
2017/1/15,1,40,40,114,,
2017/1/15,1,41,41,43,,
2017/1/15,1,42,42,59,,
2017/1/15,1,43,43,28,,
2017/1/15,1,44,44,39,,
2017/1/15,1,45,45,69,,
2017/1/15,1,46,46,228,,
2017/1/15,1,47,47,89,,
2017/1/15,1,48,48,94,,
2017/1/15,1,49,49,134,,
2017/1/15,1,50,50,238,,
2017/1/16,1,1,1,122,,
2017/1/16,1,2,2,87,,
2017/1/16,1,3,3,231,,
2017/1/16,1,4,4,75,,
2017/1/16,1,5,5,323,,
2017/1/16,1,6,6,167,,
2017/1/16,1,7,7,142,,
2017/1/16,1,8,8,143,,
2017/1/16,1,9,9,58,,
2017/1/16,1,10,10,178,,
2017/1/16,1,11,11,216,,
2017/1/16,1,12,12,229,,
2017/1/16,1,13,13,29,,
2017/1/16,1,14,14,57,,
2017/1/16,1,15,15,92,,
2017/1/16,1,16,16,40,,
2017/1/16,1,17,17,59,,
2017/1/16,1,18,18,37,,
2017/1/16,1,19,19,66,,
2017/1/16,1,20,20,43,,
2017/1/16,1,21,21,33,,
2017/1/16,1,22,22,26,,
2017/1/16,1,23,23,70,,
2017/1/16,1,24,24,138,,
2017/1/16,1,25,25,71,,
2017/1/16,1,26,26,111,,
2017/1/16,1,27,27,199,,
2017/1/16,1,28,28,95,,
2017/1/16,1,29,29,79,,
2017/1/16,1,30,30,92,,
2017/1/16,1,31,31,42,,
2017/1/16,1,32,32,38,,
2017/1/16,1,33,33,50,,
2017/1/16,1,34,34,63,,
2017/1/16,1,35,35,114,,
2017/1/16,1,36,36,24,,
2017/1/16,1,37,37,26,,
2017/1/16,1,38,38,81,,
2017/1/16,1,39,39,132,,
2017/1/16,1,40,40,98,,
2017/1/16,1,41,41,65,,
2017/1/16,1,42,42,49,,
2017/1/16,1,43,43,27,,
2017/1/16,1,44,44,34,,
2017/1/16,1,45,45,84,,
2017/1/16,1,46,46,311,,
2017/1/16,1,47,47,80,,
2017/1/16,1,48,48,79,,
2017/1/16,1,49,49,91,,
2017/1/16,1,50,50,322,,
2017/1/17,1,1,1,178,,
2017/1/17,1,2,2,162,,
2017/1/17,1,3,3,264,,
2017/1/17,1,4,4,141,,
2017/1/17,1,5,5,132,,
2017/1/17,1,6,6,69,,
2017/1/17,1,7,7,96,,
2017/1/17,1,8,8,194,,
2017/1/17,1,9,9,110,,
2017/1/17,1,10,10,204,,
2017/1/17,1,11,11,307,,
2017/1/17,1,12,12,318,,
2017/1/17,1,13,13,56,,
2017/1/17,1,14,14,65,,
2017/1/17,1,15,15,98,,
2017/1/17,1,16,16,78,,
2017/1/17,1,17,17,84,,
2017/1/17,1,18,18,83,,
2017/1/17,1,19,19,71,,
2017/1/17,1,20,20,48,,
2017/1/17,1,21,21,37,,
2017/1/17,1,22,22,35,,
2017/1/17,1,23,23,75,,
2017/1/17,1,24,24,154,,
2017/1/17,1,25,25,75,,
2017/1/17,1,26,26,237,,
2017/1/17,1,27,27,305,,
2017/1/17,1,28,28,93,,
2017/1/17,1,29,29,82,,
2017/1/17,1,30,30,146,,
2017/1/17,1,31,31,44,,
2017/1/17,1,32,32,43,,
2017/1/17,1,33,33,71,,
2017/1/17,1,34,34,35,,
2017/1/17,1,35,35,75,,
2017/1/17,1,36,36,47,,
2017/1/17,1,37,37,32,,
2017/1/17,1,38,38,105,,
2017/1/17,1,39,39,142,,
2017/1/17,1,40,40,94,,
2017/1/17,1,41,41,50,,
2017/1/17,1,42,42,53,,
2017/1/17,1,43,43,26,,
2017/1/17,1,44,44,37,,
2017/1/17,1,45,45,64,,
2017/1/17,1,46,46,328,,
2017/1/17,1,47,47,69,,
2017/1/17,1,48,48,74,,
2017/1/17,1,49,49,82,,
2017/1/17,1,50,50,334,,
2017/1/18,1,1,1,55,,
2017/1/18,1,2,2,156,,
2017/1/18,1,3,3,420,,
2017/1/18,1,4,4,78,,
2017/1/18,1,5,5,96,,
2017/1/18,1,6,6,91,,
2017/1/18,1,7,7,76,,
2017/1/18,1,8,8,159,,
2017/1/18,1,9,9,129,,
2017/1/18,1,10,10,192,,
2017/1/18,1,11,11,229,,
2017/1/18,1,12,12,228,,
2017/1/18,1,13,13,49,,
2017/1/18,1,14,14,78,,
2017/1/18,1,15,15,179,,
2017/1/18,1,16,16,63,,
2017/1/18,1,17,17,66,,
2017/1/18,1,18,18,77,,
2017/1/18,1,19,19,114,,
2017/1/18,1,20,20,48,,
2017/1/18,1,21,21,59,,
2017/1/18,1,22,22,47,,
2017/1/18,1,23,23,91,,
2017/1/18,1,24,24,319,,
2017/1/18,1,25,25,133,,
2017/1/18,1,26,26,331,,
2017/1/18,1,27,27,389,,
2017/1/18,1,28,28,124,,
2017/1/18,1,29,29,110,,
2017/1/18,1,30,30,116,,
2017/1/18,1,31,31,55,,
2017/1/18,1,32,32,57,,
2017/1/18,1,33,33,84,,
2017/1/18,1,34,34,38,,
2017/1/18,1,35,35,47,,
2017/1/18,1,36,36,55,,
2017/1/18,1,37,37,28,,
2017/1/18,1,38,38,88,,
2017/1/18,1,39,39,127,,
2017/1/18,1,40,40,113,,
2017/1/18,1,41,41,34,,
2017/1/18,1,42,42,50,,
2017/1/18,1,43,43,27,,
2017/1/18,1,44,44,35,,
2017/1/18,1,45,45,67,,
2017/1/18,1,46,46,342,,
2017/1/18,1,47,47,89,,
2017/1/18,1,48,48,99,,
2017/1/18,1,49,49,102,,
2017/1/18,1,50,50,414,,
2017/1/19,1,1,1,85,,
2017/1/19,1,2,2,97,,
2017/1/19,1,3,3,212,,
2017/1/19,1,4,4,66,,
2017/1/19,1,5,5,94,,
2017/1/19,1,6,6,71,,
2017/1/19,1,7,7,42,,
2017/1/19,1,8,8,162,,
2017/1/19,1,9,9,65,,
2017/1/19,1,10,10,112,,
2017/1/19,1,11,11,165,,
2017/1/19,1,12,12,194,,
2017/1/19,1,13,13,103,,
2017/1/19,1,14,14,99,,
2017/1/19,1,15,15,191,,
2017/1/19,1,16,16,122,,
2017/1/19,1,17,17,95,,
2017/1/19,1,18,18,79,,
2017/1/19,1,19,19,107,,
2017/1/19,1,20,20,40,,
2017/1/19,1,21,21,56,,
2017/1/19,1,22,22,54,,
2017/1/19,1,23,23,102,,
2017/1/19,1,24,24,231,,
2017/1/19,1,25,25,147,,
2017/1/19,1,26,26,218,,
2017/1/19,1,27,27,196,,
2017/1/19,1,28,28,148,,
2017/1/19,1,29,29,109,,
2017/1/19,1,30,30,141,,
2017/1/19,1,31,31,50,,
2017/1/19,1,32,32,60,,
2017/1/19,1,33,33,77,,
2017/1/19,1,34,34,33,,
2017/1/19,1,35,35,49,,
2017/1/19,1,36,36,55,,
2017/1/19,1,37,37,34,,
2017/1/19,1,38,38,93,,
2017/1/19,1,39,39,124,,
2017/1/19,1,40,40,113,,
2017/1/19,1,41,41,44,,
2017/1/19,1,42,42,57,,
2017/1/19,1,43,43,27,,
2017/1/19,1,44,44,41,,
2017/1/19,1,45,45,57,,
2017/1/19,1,46,46,198,,
2017/1/19,1,47,47,244,,
2017/1/19,1,48,48,97,,
2017/1/19,1,49,49,87,,
2017/1/19,1,50,50,195,,
2017/1/20,1,1,1,37,,
2017/1/20,1,2,2,34,,
2017/1/20,1,3,3,84,,
2017/1/20,1,4,4,42,,
2017/1/20,1,5,5,75,,
2017/1/20,1,6,6,60,,
2017/1/20,1,7,7,73,,
2017/1/20,1,8,8,54,,
2017/1/20,1,9,9,40,,
2017/1/20,1,10,10,88,,
2017/1/20,1,11,11,130,,
2017/1/20,1,12,12,176,,
2017/1/20,1,13,13,98,,
2017/1/20,1,14,14,71,,
2017/1/20,1,15,15,73,,
2017/1/20,1,16,16,85,,
2017/1/20,1,17,17,72,,
2017/1/20,1,18,18,74,,
2017/1/20,1,19,19,84,,
2017/1/20,1,20,20,34,,
2017/1/20,1,21,21,40,,
2017/1/20,1,22,22,33,,
2017/1/20,1,23,23,114,,
2017/1/20,1,24,24,58,,
2017/1/20,1,25,25,49,,
2017/1/20,1,26,26,73,,
2017/1/20,1,27,27,63,,
2017/1/20,1,28,28,91,,
2017/1/20,1,29,29,97,,
2017/1/20,1,30,30,92,,
2017/1/20,1,31,31,31,,
2017/1/20,1,32,32,35,,
2017/1/20,1,33,33,32,,
2017/1/20,1,34,34,42,,
2017/1/20,1,35,35,98,,
2017/1/20,1,36,36,38,,
2017/1/20,1,37,37,31,,
2017/1/20,1,38,38,102,,
2017/1/20,1,39,39,146,,
2017/1/20,1,40,40,122,,
2017/1/20,1,41,41,71,,
2017/1/20,1,42,42,56,,
2017/1/20,1,43,43,37,,
2017/1/20,1,44,44,51,,
2017/1/20,1,45,45,42,,
2017/1/20,1,46,46,67,,
2017/1/20,1,47,47,138,,
2017/1/20,1,48,48,134,,
2017/1/20,1,49,49,87,,
2017/1/20,1,50,50,267,,
2017/1/21,1,1,1,52,,
2017/1/21,1,2,2,67,,
2017/1/21,1,3,3,119,,
2017/1/21,1,4,4,58,,
2017/1/21,1,5,5,90,,
2017/1/21,1,6,6,42,,
2017/1/21,1,7,7,43,,
2017/1/21,1,8,8,92,,
2017/1/21,1,9,9,49,,
2017/1/21,1,10,10,87,,
2017/1/21,1,11,11,108,,
2017/1/21,1,12,12,121,,
2017/1/21,1,13,13,49,,
2017/1/21,1,14,14,61,,
2017/1/21,1,15,15,93,,
2017/1/21,1,16,16,58,,
2017/1/21,1,17,17,60,,
2017/1/21,1,18,18,60,,
2017/1/21,1,19,19,73,,
2017/1/21,1,20,20,52,,
2017/1/21,1,21,21,54,,
2017/1/21,1,22,22,49,,
2017/1/21,1,23,23,78,,
2017/1/21,1,24,24,79,,
2017/1/21,1,25,25,61,,
2017/1/21,1,26,26,101,,
2017/1/21,1,27,27,86,,
2017/1/21,1,28,28,88,,
2017/1/21,1,29,29,79,,
2017/1/21,1,30,30,93,,
2017/1/21,1,31,31,75,,
2017/1/21,1,32,32,62,,
2017/1/21,1,33,33,79,,
2017/1/21,1,34,34,83,,
2017/1/21,1,35,35,93,,
2017/1/21,1,36,36,52,,
2017/1/21,1,37,37,28,,
2017/1/21,1,38,38,158,,
2017/1/21,1,39,39,152,,
2017/1/21,1,40,40,129,,
2017/1/21,1,41,41,81,,
2017/1/21,1,42,42,51,,
2017/1/21,1,43,43,36,,
2017/1/21,1,44,44,55,,
2017/1/21,1,45,45,54,,
2017/1/21,1,46,46,98,,
2017/1/21,1,47,47,106,,
2017/1/21,1,48,48,109,,
2017/1/21,1,49,49,82,,
2017/1/21,1,50,50,387,,
2017/1/22,1,1,1,36,,
2017/1/22,1,2,2,42,,
2017/1/22,1,3,3,96,,
2017/1/22,1,4,4,42,,
2017/1/22,1,5,5,80,,
2017/1/22,1,6,6,59,,
2017/1/22,1,7,7,73,,
2017/1/22,1,8,8,83,,
2017/1/22,1,9,9,39,,
2017/1/22,1,10,10,123,,
2017/1/22,1,11,11,143,,
2017/1/22,1,12,12,88,,
2017/1/22,1,13,13,67,,
2017/1/22,1,14,14,76,,
2017/1/22,1,15,15,112,,
2017/1/22,1,16,16,90,,
2017/1/22,1,17,17,86,,
2017/1/22,1,18,18,82,,
2017/1/22,1,19,19,127,,
2017/1/22,1,20,20,56,,
2017/1/22,1,21,21,59,,
2017/1/22,1,22,22,53,,
2017/1/22,1,23,23,98,,
2017/1/22,1,24,24,63,,
2017/1/22,1,25,25,48,,
2017/1/22,1,26,26,140,,
2017/1/22,1,27,27,154,,
2017/1/22,1,28,28,135,,
2017/1/22,1,29,29,128,,
2017/1/22,1,30,30,131,,
2017/1/22,1,31,31,62,,
2017/1/22,1,32,32,66,,
2017/1/22,1,33,33,72,,
2017/1/22,1,34,34,82,,
2017/1/22,1,35,35,79,,
2017/1/22,1,36,36,60,,
2017/1/22,1,37,37,41,,
2017/1/22,1,38,38,165,,
2017/1/22,1,39,39,231,,
2017/1/22,1,40,40,179,,
2017/1/22,1,41,41,121,,
2017/1/22,1,42,42,56,,
2017/1/22,1,43,43,24,,
2017/1/22,1,44,44,59,,
2017/1/22,1,45,45,60,,
2017/1/22,1,46,46,175,,
2017/1/22,1,47,47,92,,
2017/1/22,1,48,48,73,,
2017/1/22,1,49,49,109,,
2017/1/22,1,50,50,299,,
2017/1/23,1,1,1,47,,
2017/1/23,1,2,2,75,,
2017/1/23,1,3,3,251,,
2017/1/23,1,4,4,56,,
2017/1/23,1,5,5,122,,
2017/1/23,1,6,6,90,,
2017/1/23,1,7,7,100,,
2017/1/23,1,8,8,149,,
2017/1/23,1,9,9,41,,
2017/1/23,1,10,10,146,,
2017/1/23,1,11,11,115,,
2017/1/23,1,12,12,107,,
2017/1/23,1,13,13,37,,
2017/1/23,1,14,14,63,,
2017/1/23,1,15,15,101,,
2017/1/23,1,16,16,48,,
2017/1/23,1,17,17,68,,
2017/1/23,1,18,18,51,,
2017/1/23,1,19,19,102,,
2017/1/23,1,20,20,63,,
2017/1/23,1,21,21,57,,
2017/1/23,1,22,22,54,,
2017/1/23,1,23,23,78,,
2017/1/23,1,24,24,129,,
2017/1/23,1,25,25,41,,
2017/1/23,1,26,26,180,,
2017/1/23,1,27,27,256,,
2017/1/23,1,28,28,118,,
2017/1/23,1,29,29,105,,
2017/1/23,1,30,30,117,,
2017/1/23,1,31,31,64,,
2017/1/23,1,32,32,62,,
2017/1/23,1,33,33,78,,
2017/1/23,1,34,34,89,,
2017/1/23,1,35,35,90,,
2017/1/23,1,36,36,59,,
2017/1/23,1,37,37,42,,
2017/1/23,1,38,38,171,,
2017/1/23,1,39,39,249,,
2017/1/23,1,40,40,225,,
2017/1/23,1,41,41,83,,
2017/1/23,1,42,42,46,,
2017/1/23,1,43,43,26,,
2017/1/23,1,44,44,54,,
2017/1/23,1,45,45,48,,
2017/1/23,1,46,46,252,,
2017/1/23,1,47,47,116,,
2017/1/23,1,48,48,82,,
2017/1/23,1,49,49,150,,
2017/1/23,1,50,50,284,,
2017/1/24,1,1,1,116,,
2017/1/24,1,2,2,120,,
2017/1/24,1,3,3,239,,
2017/1/24,1,4,4,119,,
2017/1/24,1,5,5,169,,
2017/1/24,1,6,6,85,,
2017/1/24,1,7,7,92,,
2017/1/24,1,8,8,174,,
2017/1/24,1,9,9,40,,
2017/1/24,1,10,10,144,,
2017/1/24,1,11,11,124,,
2017/1/24,1,12,12,173,,
2017/1/24,1,13,13,40,,
2017/1/24,1,14,14,52,,
2017/1/24,1,15,15,90,,
2017/1/24,1,16,16,49,,
2017/1/24,1,17,17,48,,
2017/1/24,1,18,18,48,,
2017/1/24,1,19,19,75,,
2017/1/24,1,20,20,38,,
2017/1/24,1,21,21,40,,
2017/1/24,1,22,22,34,,
2017/1/24,1,23,23,79,,
2017/1/24,1,24,24,182,,
2017/1/24,1,25,25,67,,
2017/1/24,1,26,26,265,,
2017/1/24,1,27,27,297,,
2017/1/24,1,28,28,88,,
2017/1/24,1,29,29,87,,
2017/1/24,1,30,30,118,,
2017/1/24,1,31,31,74,,
2017/1/24,1,32,32,57,,
2017/1/24,1,33,33,71,,
2017/1/24,1,34,34,106,,
2017/1/24,1,35,35,93,,
2017/1/24,1,36,36,55,,
2017/1/24,1,37,37,33,,
2017/1/24,1,38,38,189,,
2017/1/24,1,39,39,228,,
2017/1/24,1,40,40,201,,
2017/1/24,1,41,41,87,,
2017/1/24,1,42,42,40,,
2017/1/24,1,43,43,27,,
2017/1/24,1,44,44,44,,
2017/1/24,1,45,45,38,,
2017/1/24,1,46,46,340,,
2017/1/24,1,47,47,137,,
2017/1/24,1,48,48,91,,
2017/1/24,1,49,49,109,,
2017/1/24,1,50,50,233,,
2017/1/25,1,1,1,223,,
2017/1/25,1,2,2,244,,
2017/1/25,1,3,3,339,,
2017/1/25,1,4,4,219,,
2017/1/25,1,5,5,341,,
2017/1/25,1,6,6,168,,
2017/1/25,1,7,7,131,,
2017/1/25,1,8,8,161,,
2017/1/25,1,9,9,87,,
2017/1/25,1,10,10,116,,
2017/1/25,1,11,11,103,,
2017/1/25,1,12,12,143,,
2017/1/25,1,13,13,75,,
2017/1/25,1,14,14,84,,
2017/1/25,1,15,15,116,,
2017/1/25,1,16,16,102,,
2017/1/25,1,17,17,66,,
2017/1/25,1,18,18,65,,
2017/1/25,1,19,19,97,,
2017/1/25,1,20,20,36,,
2017/1/25,1,21,21,29,,
2017/1/25,1,22,22,31,,
2017/1/25,1,23,23,73,,
2017/1/25,1,24,24,141,,
2017/1/25,1,25,25,81,,
2017/1/25,1,26,26,265,,
2017/1/25,1,27,27,377,,
2017/1/25,1,28,28,108,,
2017/1/25,1,29,29,107,,
2017/1/25,1,30,30,158,,
2017/1/25,1,31,31,77,,
2017/1/25,1,32,32,50,,
2017/1/25,1,33,33,65,,
2017/1/25,1,34,34,119,,
2017/1/25,1,35,35,91,,
2017/1/25,1,36,36,44,,
2017/1/25,1,37,37,28,,
2017/1/25,1,38,38,108,,
2017/1/25,1,39,39,243,,
2017/1/25,1,40,40,206,,
2017/1/25,1,41,41,108,,
2017/1/25,1,42,42,53,,
2017/1/25,1,43,43,26,,
2017/1/25,1,44,44,42,,
2017/1/25,1,45,45,53,,
2017/1/25,1,46,46,416,,
2017/1/25,1,47,47,182,,
2017/1/25,1,48,48,81,,
2017/1/25,1,49,49,197,,
2017/1/25,1,50,50,210,,
2017/1/26,1,1,1,204,,
2017/1/26,1,2,2,274,,
2017/1/26,1,3,3,341,,
2017/1/26,1,4,4,229,,
2017/1/26,1,5,5,231,,
2017/1/26,1,6,6,158,,
2017/1/26,1,7,7,97,,
2017/1/26,1,8,8,125,,
2017/1/26,1,9,9,112,,
2017/1/26,1,10,10,103,,
2017/1/26,1,11,11,80,,
2017/1/26,1,12,12,88,,
2017/1/26,1,13,13,74,,
2017/1/26,1,14,14,94,,
2017/1/26,1,15,15,151,,
2017/1/26,1,16,16,98,,
2017/1/26,1,17,17,74,,
2017/1/26,1,18,18,55,,
2017/1/26,1,19,19,123,,
